@timestamp,_source_ip,_store_id,_store_name,_timestamp,_trace_id,action,client_ip,file,hostname,message,result,risk,store_name,time,timestamp,user,_id
2026-05-25T15:16:24.744+08:00,127.0.0.1,8,app-security,1779693384744,fdbe60261bf5563e,create_user,203.0.113.22,/tmp/lca-samples/security/audit1.log,CdeMacBook-Air.local,"{""time"":""2026-05-24T15:06:13+08:00"",""user"":""diana"",""action"":""create_user"",""client_ip"":""203.0.113.22"",""result"":""success"",""risk"":""low""}",success,low,app-security,2026-05-24T15:06:13+08:00,1779693384736,diana,Hgb9XZ4BZtjezSlA9eZ6
2026-05-25T15:16:24.744+08:00,127.0.0.1,8,app-security,1779693384744,fdbe60261bf5563e,login_success,172.16.5.30,/tmp/lca-samples/security/audit1.log,CdeMacBook-Air.local,"{""time"":""2026-05-24T15:07:13+08:00"",""user"":""frank"",""action"":""login_success"",""client_ip"":""172.16.5.30"",""result"":""success"",""risk"":""low""}",success,low,app-security,2026-05-24T15:07:13+08:00,1779693384736,frank,Hwb9XZ4BZtjezSlA9ebt
2026-05-25T15:16:24.744+08:00,127.0.0.1,8,app-security,1779693384744,fdbe60261bf5563e,export_data,192.0.2.5,/tmp/lca-samples/security/audit1.log,CdeMacBook-Air.local,"{""time"":""2026-05-24T15:08:13+08:00"",""user"":""alice"",""action"":""export_data"",""client_ip"":""192.0.2.5"",""result"":""success"",""risk"":""low""}",success,low,app-security,2026-05-24T15:08:13+08:00,1779693384736,alice,IAb9XZ4BZtjezSlA9ebt
2026-05-25T15:16:24.744+08:00,127.0.0.1,8,app-security,1779693384744,fdbe60261bf5563e,create_user,198.51.100.88,/tmp/lca-samples/security/audit1.log,CdeMacBook-Air.local,"{""time"":""2026-05-24T15:08:13+08:00"",""user"":""bob"",""action"":""create_user"",""client_ip"":""198.51.100.88"",""result"":""success"",""risk"":""low""}",success,low,app-security,2026-05-24T15:08:13+08:00,1779693384736,bob,IQb9XZ4BZtjezSlA9ebt
2026-05-25T15:16:24.744+08:00,127.0.0.1,8,app-security,1779693384744,fdbe60261bf5563e,login_failed,172.16.5.30,/tmp/lca-samples/security/audit1.log,CdeMacBook-Air.local,"{""time"":""2026-05-24T15:09:13+08:00"",""user"":""bob"",""action"":""login_failed"",""client_ip"":""172.16.5.30"",""result"":""failure"",""risk"":""high""}",failure,high,app-security,2026-05-24T15:09:13+08:00,1779693384736,bob,Igb9XZ4BZtjezSlA9ebt
2026-05-25T15:16:24.744+08:00,127.0.0.1,8,app-security,1779693384744,fdbe60261bf5563e,config_change,192.0.2.99,/tmp/lca-samples/security/audit1.log,CdeMacBook-Air.local,"{""time"":""2026-05-24T15:09:13+08:00"",""user"":""charlie"",""action"":""config_change"",""client_ip"":""192.0.2.99"",""result"":""success"",""risk"":""low""}",success,low,app-security,2026-05-24T15:09:13+08:00,1779693384736,charlie,Iwb9XZ4BZtjezSlA9ebt
2026-05-25T15:16:24.744+08:00,127.0.0.1,8,app-security,1779693384744,fdbe60261bf5563e,login_success,203.0.113.22,/tmp/lca-samples/security/audit1.log,CdeMacBook-Air.local,"{""time"":""2026-05-24T15:10:13+08:00"",""user"":""admin"",""action"":""login_success"",""client_ip"":""203.0.113.22"",""result"":""success"",""risk"":""low""}",success,low,app-security,2026-05-24T15:10:13+08:00,1779693384736,admin,JAb9XZ4BZtjezSlA9ebt
2026-05-25T15:16:24.744+08:00,127.0.0.1,8,app-security,1779693384744,fdbe60261bf5563e,config_change,172.16.5.30,/tmp/lca-samples/security/audit1.log,CdeMacBook-Air.local,"{""time"":""2026-05-24T15:11:13+08:00"",""user"":""alice"",""action"":""config_change"",""client_ip"":""172.16.5.30"",""result"":""success"",""risk"":""low""}",success,low,app-security,2026-05-24T15:11:13+08:00,1779693384736,alice,JQb9XZ4BZtjezSlA9ebt
2026-05-25T15:16:24.744+08:00,127.0.0.1,8,app-security,1779693384744,fdbe60261bf5563e,failed_attempt,10.0.0.1,/tmp/lca-samples/security/audit1.log,CdeMacBook-Air.local,"{""time"":""2026-05-24T15:12:13+08:00"",""user"":""frank"",""action"":""failed_attempt"",""client_ip"":""10.0.0.1"",""result"":""failure"",""risk"":""high""}",failure,high,app-security,2026-05-24T15:12:13+08:00,1779693384736,frank,Jgb9XZ4BZtjezSlA9ebt
2026-05-25T15:16:24.744+08:00,127.0.0.1,8,app-security,1779693384744,fdbe60261bf5563e,export_data,192.0.2.99,/tmp/lca-samples/security/audit1.log,CdeMacBook-Air.local,"{""time"":""2026-05-24T15:12:13+08:00"",""user"":""diana"",""action"":""export_data"",""client_ip"":""192.0.2.99"",""result"":""success"",""risk"":""low""}",success,low,app-security,2026-05-24T15:12:13+08:00,1779693384736,diana,Jwb9XZ4BZtjezSlA9ebt
